Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.4199,Fri Sep 07 14:12:13 +0000 2018,0.896,0.0,0.104,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCRadio2: In just two days @kylieminogue will be taking to our Hyde Park stage as our 2018 headliner!

To get us ready, she's settled…",51
0.0,Fri Sep 07 13:03:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","From dry-ice and glitter, to the rise of the industrial aesthetic... 🕺💃🎶

Here's how nightclub design has evolved.… https://t.co/7pXfPWeExU",52
0.6486,Fri Sep 07 12:04:03 +0000 2018,0.531,0.0,0.469,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂 A helpful guide to parenting, courtesy of #Motherland. https://t.co/BCDgmckkUV",53
0.5423,Fri Sep 07 11:40:11 +0000 2018,0.824,0.0,0.176,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCScotlandNews: Tiny bird has lucky escape as hunting bird of prey crashes into window and knocks itself out while in pursuit https://…,54
-0.6486,Fri Sep 07 11:03:05 +0000 2018,0.807,0.193,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A stick of pretzel bread with a sticky marshmallow coating... rolled around in a large pile of dead ants. 🤢🐜

This… https://t.co/oHstoN9hXy",55
-0.5574,Fri Sep 07 08:26:35 +0000 2018,0.769,0.231,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Hollywood star Burt Reynolds has died at the age of 82. https://t.co/sa7T3zLdlP https://t.co/6ttGKAj1n3,56
0.296,Fri Sep 07 08:00:06 +0000 2018,0.705,0.111,0.185,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","“Don’t choose pride over a life of pain. It took me years to hug my dad and his dad was the same.” 
(via @BBCThree) https://t.co/IE8yFK0bJo",57
0.0,Fri Sep 07 07:26:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🚆📱 Commuters are so regularly using travel time for work emails that their journeys should be counted as part of th… https://t.co/kJU6GXxMD1,58
-0.7297,Fri Sep 07 07:00:13 +0000 2018,0.595,0.405,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WARNING: This clip contains graphic scenes of outrageous ankle-kissing... 😳 
#Quacks https://t.co/RLuQo7w8YR",59
0.0,Thu Sep 06 19:02:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A drama series in which journalists at a left-leaning broadsheet and a populist tabloid compete for news. 🗞

#Press… https://t.co/v9IDLjeZcA",60
0.0,Thu Sep 06 18:04:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Twenty modern workers go back to the 60s, 70s and 80s to learn how an unsung army of factory girls took on the figh… https://t.co/1Co3Dt9vEC",61
-0.4767,Thu Sep 06 18:00:14 +0000 2018,0.721,0.279,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂📱 Who's worse: iPhone or Android users? 
#IrrationalLive https://t.co/TxQTGUBIX3",62
0.0,Thu Sep 06 16:02:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🐠 The world's largest 3D printed reef has just been installed in the Maldives. https://t.co/ky00Fz4lgg,63
0.2023,Thu Sep 06 13:01:00 +0000 2018,0.785,0.091,0.124,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Is there no end to this man's talents? 🖌🎨

The story of @joelycett 's £12.5 million sculpture at the @royalacademy… https://t.co/54PUEdbuuE",64
0.0,Thu Sep 06 12:01:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Why does a parent dress their child in KKK robes?
(via @BBCThree) https://t.co/XVAIhWzk9j",65
0.3182,Thu Sep 06 11:26:39 +0000 2018,0.839,0.0,0.161,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCOne: Stay cool. But. Tonight @missgemcollins enters the Celebrity @MasterChefUK kitchen. https://t.co/cWGjn9bSvx,66
-0.4939,Thu Sep 06 11:08:06 +0000 2018,0.551,0.307,0.142,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","In a historic decision, India's Supreme Court has ruled that gay sex is no longer a criminal offence. 🏳️‍🌈… https://t.co/OKB9IUEShz",67
0.0,Thu Sep 06 10:20:09 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcpress: More than 70 documentaries from @LouisTheroux and @StaceyDooley return to @BBCiPlayer as boxsets: https://t.co/0DRYUMxMjw htt…,68
-0.5267,Thu Sep 06 09:07:55 +0000 2018,0.772,0.158,0.07,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcstories: This boxing club has been training and inspiring London's youngsters for more than 50 years, but was destroyed in the Grenf…",69
0.0,Thu Sep 06 08:30:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Every year 640,000 tonnes of plastic from the fishing industry enters the sea. 🎣

♻️But there’s nowhere in the UK i… https://t.co/ng86lxkGDJ",70
0.4588,Thu Sep 06 07:31:09 +0000 2018,0.857,0.0,0.143,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A real-life soap opera, filmed over a year in a North Yorkshire town. Welcome to the Mighty Redcar...

The Mighty R… https://t.co/6ABU0JHhuA",71
